ASX code,Company name,Listing date,GICs industry group,Market Cap
ARA,ARIADNE AUSTRALIA LIMITED,12/10/1982,Commercial & Professional Services,123607629
ARB,ARB CORPORATION LIMITED.,26/06/1987,Automobiles & Components,2296847650
ARC,ARC FUNDS LIMITED,14/04/2000,Diversified Financials,9925196
ARD,ARGENT MINERALS LIMITED,03/04/2008,Materials,17364133
ARE,ARGONAUT RESOURCES NL,23/01/1986,Materials,12723743
ARF,ARENA REIT.,13/06/2013,Real Estate,1349528699
ARG,ARGO INVESTMENTS LIMITED,31/03/1963,Not Applic,6964017216
ARL,ARDEA RESOURCES LIMITED,09/02/2017,Materials,162099572
ARN,ALDORO RESOURCES LIMITED,13/09/2018,Materials,33746195
ARO,ASTRO RESOURCES NL,,,14679801
ARR,AMERICAN RARE EARTHS LIMITED,17/02/2011,Materials,87063756
ART,AIRTASKER LIMITED,23/03/2021,Media & Entertainment,152796131
ARU,ARAFURA RARE EARTHS LTD,05/11/2003,Materials,725526896
ARV,ARTEMIS RESOURCES LIMITED,16/03/2007,Materials,36176878
ARX,AROA BIOSURGERY LIMITED,24/07/2020,"Pharmaceuticals, Biotechnology & Life Sciences",368428524
AS2,ASKARI METALS LIMITED,07/07/2021,Materials,22230253
ASB,AUSTAL LIMITED,08/12/1998,Capital Goods,855362825
ASG,AUTOSPORTS GROUP LIMITED.,16/11/2016,Retailing,389940000
ASH,ASHLEY SERVICES GROUP LIMITED,21/08/2014,Commercial & Professional Services,95024097
ASM,AUSTRALIAN STRATEGIC MATERIALS LIMITED,30/07/2020,Materials,271684700
ASN,ANSON RESOURCES LIMITED,08/07/2010,Materials,258696680
ASO,ASTON MINERALS LIMITED,04/03/2011,Materials,99104253
ASP,ASPERMONT LIMITED.,27/04/2000,Media & Entertainment,53442246
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,22/10/2007,Materials,17982925
ASR,ASRA MINERALS LIMITED,30/06/1986,Materials,23428185
ASW,ADVANCED SHARE REGISTRY LIMITED,10/06/2008,Diversified Financials,37714516
ASX,ASX LIMITED,14/10/1998,Diversified Financials,13421952581
AT1,ATOMO DIAGNOSTICS LIMITED,16/04/2020,Health Care Equipment & Services,32540786
ATA,ATTURRA LIMITED,22/12/2021,Software & Services,202555953
ATC,ALTECH CHEMICALS LTD,27/01/2010,Materials,126982162
ATH,ALTERITY THERAPEUTICS LIMITED,28/03/2000,"Pharmaceuticals, Biotechnology & Life Sciences",24164184
ATL,APOLLO TOURISM & LEISURE LTD,04/11/2016,Automobiles & Components,N/A
ATM,ANEKA TAMBANG (PERSERO) TBK (PT),09/08/1999,Materials,5047829424
ATP,ATLAS PEARLS LTD,31/12/1993,Consumer Durables & Apparel,13264024
ATR,ASTRON CORPORATION LIMITED,11/11/1983,Materials,79151577
ATS,AUSTRALIS OIL & GAS LIMITED,25/07/2016,Energy,46664262
ATU,ATRUM COAL LIMITED,24/07/2012,Materials,9679157
ATV,ACTIVEPORT GROUP LTD,20/10/2021,Software & Services,25873113
ATX,AMPLIA THERAPEUTICS LIMITED,23/12/2013,"Pharmaceuticals, Biotechnology & Life Sciences",19012543
AU1,THE AGENCY GROUP AUSTRALIA LTD,18/12/2007,Real Estate,12857298
AUA,AUDEARA LIMITED,18/05/2021,Consumer Durables & Apparel,10146400
AUB,AUB GROUP LIMITED,16/11/2005,Insurance,2384951868
AUC,AUSGOLD LIMITED,16/12/2009,Materials,89296880
AUE,AURUM RESOURCES LIMITED,02/11/2021,Materials,5100000
AUH,AUSTCHINA HOLDINGS LIMITED,17/03/2003,Energy,14257829
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,01/01/1974,Not Applic,1227744681
AUK,AUMAKE LIMITED.,07/12/2011,Retailing,3085788
AUN,AURUMIN LIMITED,09/12/2020,Materials,13040870
AUQ,ALARA RESOURCES LIMITED,24/05/2007,Materials,25133064
AUR,AURIS MINERALS LIMITED,15/03/2001,Materials,7626015
AUT,AUTECO MINERALS LTD,21/09/2005,Materials,117866669
AUZ,AUSTRALIAN MINES LIMITED,28/09/2001,Materials,28637723
AV1,ADVERITAS LIMITED,18/12/2012,Software & Services,49361393
AVA,AVA RISK GROUP LIMITED,11/05/2015,Technology Hardware & Equipment,51082927
AVC,AUCTUS INVESTMENT GROUP LIMITED,10/08/2011,Diversified Financials,67401932
AVD,AVADA GROUP LIMITED,17/12/2021,Commercial & Professional Services,62278104
AVE,AVECHO BIOTECHNOLOGY LIMITED,09/08/1993,"Pharmaceuticals, Biotechnology & Life Sciences",16540824
AVG,AUSTRALIAN VINTAGE LTD,26/03/1992,"Food, Beverage & Tobacco",152846284
AVH,AVITA MEDICAL INC.,24/06/2020,"Pharmaceuticals, Biotechnology & Life Sciences",245928612
AVJ,AVJENNINGS LIMITED,27/01/1994,Consumer Durables & Apparel,166554598
