,company name,fca website,website
120,Merge Assets and Finance,https://www.fca.org.uk/news/warnings/merge-assets-and-finance,['https://mergeassetsandfinance.com/']
121,Crypto Wealth Investment Company,https://www.fca.org.uk/news/warnings/crypto-wealth-investment-company,['https://cryptowealth-company.com/']
122,MACRO FUNDS BANK,https://www.fca.org.uk/news/warnings/macro-funds-bank,['www.macrofundsbank.com']
123,FX BITCOIN MINERS,https://www.fca.org.uk/news/warnings/fx-bitcoin-miners,['www.fxbitcoinminers.com']
124,ARTEMISFX,https://www.fca.org.uk/news/warnings/artemisfx,['www.artemisfx.com']
125,Dlightglobalfxm,https://www.fca.org.uk/news/warnings/dlightglobalfxm,['https://dlightglobalfxm.com/']
126,Daily-incomex,https://www.fca.org.uk/news/warnings/daily-incomex,['https://daily-incomex.digital']
127,Hayat Global Ltd,https://www.fca.org.uk/news/warnings/hayat-global-ltd,['https://hayatglobalfx.com/']
128,Fxbinas Trade Trade,https://www.fca.org.uk/news/warnings/fxbinas-trade-trade,['https://fxbinas-trade.online/']
129,Mega Profit Crypto Currency,https://www.fca.org.uk/news/warnings/mega-profit-crypto-currency,['www.megaprofitcryptocurrency.com']
130,Trust Merchant Cooperative Bank,https://www.fca.org.uk/news/warnings/trust-merchant-cooperative-bank,['https://trustmerchantcooperativebank.net/']
131,SMI Trade,https://www.fca.org.uk/news/warnings/smi-trade,['https://smitrade.com/en-us/home/index.html']
132,Discovery Finance,https://www.fca.org.uk/news/warnings/discovery-finance,['https://www.discoveryfinance.me/']
133,Stacks Investments,https://www.fca.org.uk/news/warnings/stacks-investments,['www.stacksinvestments.pro']
134,PRIMECYCLES INVEST,https://www.fca.org.uk/news/warnings/primecycles-invest,['https://primecyclesinvest.com/']
135,BITYIELD INVESTMENT,https://www.fca.org.uk/news/warnings/bityield-investment,['https://bityieldinvestment.com/']
136,PRIME CRYPTO EARNERS,https://www.fca.org.uk/news/warnings/prime-crypto-earners,['https://primecryptoearners.com/']
137,FundingFX,https://www.fca.org.uk/news/warnings/fundingfx,['https://www.fundingfx.co.uk/']
138,ROMOS LLC,https://www.fca.org.uk/news/warnings/romos-llc,['https://www.romosllc.com/']
139,HTB Investment,https://www.fca.org.uk/news/warnings/htb-investment,['https://www.htbinvestment.com/']
140,Mastertradeplusfx Inc,https://www.fca.org.uk/news/warnings/mastertradeplusfx-inc,['https://mastertradeplusfx.com/']
141,One Guaranty Bank,https://www.fca.org.uk/news/warnings/one-guaranty-bank,['www.oneguarantybank.com']
142,ICapital Global FX,https://www.fca.org.uk/news/warnings/icapital-global-fx,['https://icapitalglobfx.com/']
144,Metrol International Bank,https://www.fca.org.uk/news/warnings/metrol-international-bank,['https://metrolintlbank.com/']
145,FxMarket365,https://www.fca.org.uk/news/warnings/fxmarket365,['https://fxmarket365.com/']
146,RETROFXPROFIT,https://www.fca.org.uk/news/warnings/retrofxprofit,['www.retrofxprofit.com']
147,LoyalFXMarket,https://www.fca.org.uk/news/warnings/loyalfxmarket,['www.loyalfxmarkets.com']
148,CRYPTOFXTRADING,https://www.fca.org.uk/news/warnings/cryptofxtrading,['cryptofxtrading.net']
149,DEFI KOIN MARKET,https://www.fca.org.uk/news/warnings/defi-koin-market,['https://defikoinmarket.com/']
150,elitetradecapitalfx.com LTD,https://www.fca.org.uk/news/warnings/elitetradecapitalfxcom-ltd,['https://elitetradecapitalfx.com/']
151,DFX Investment Platform,https://www.fca.org.uk/news/warnings/dfx-investment-platform,['http://dfxivpltfm.com/']
152,Digital funds investment,https://www.fca.org.uk/news/warnings/digital-funds-investment,['https://digitalfinvest.com/']
153,City Financial Asset Management,https://www.fca.org.uk/news/warnings/city-financial-asset-management,['www.cityfinancialassetmanagement.com']
154,Wealth Nets Finance Ops,https://www.fca.org.uk/news/warnings/wealth-nets-finance-ops,['www.wealthnetsops.com']
155,Bitvillafx,https://www.fca.org.uk/news/warnings/bitvillafx,['https://bitvillafx.com/']
156,Fidelity Crypto,https://www.fca.org.uk/news/warnings/fidelity-crypto,['https://fcinvestinc.com/']
157,Zenithbit Company,https://www.fca.org.uk/news/warnings/zenithbit-company,['https://zenithbitinvestment.com/']
158,ZENFXLTD.COM,https://www.fca.org.uk/news/warnings/zenfxltdcom,['www.zenfxltd.com']
159,BI.IN Trade Markets,https://www.fca.org.uk/news/warnings/biin-trade-markets,['https://www.biintrademarkets.com/']
160,Forex Alphas,https://www.fca.org.uk/news/warnings/forex-alphas,['https://forexalphastr.com/']
161,Digital CoupFx,https://www.fca.org.uk/news/warnings/digital-coupfx,['https://digitalcoupfx.com/']
162,Global Crypto Express,https://www.fca.org.uk/news/warnings/global-crypto-express,['https://globalcryptoexpress.com/']
163,Finex Global Markets,https://www.fca.org.uk/news/warnings/finex-global-markets,['https://finexglobalmarkets.com/']
164,Equity Assets Innovation,https://www.fca.org.uk/news/warnings/equity-assets-innovation,['https://equityassetsinnovation.online/']
167,VisionFxpro,https://www.fca.org.uk/news/warnings/visionfxpro,['https://visionfx.pro/']
168,VICTORY FX,https://www.fca.org.uk/news/warnings/victory-fx,['www.victoryfx.uk']
169,PAX INVESTMENTS,https://www.fca.org.uk/news/warnings/pax-investments,['www.pax-investments.uk']
170,USA GLOBAL BANK,https://www.fca.org.uk/news/warnings/usa-global-bank,['https://usa-global-bank.com/']
171,BITCLOUDFXPRO,https://www.fca.org.uk/news/warnings/bitcloudfxpro,['www.Bitcloudfxpro.com']
172,Affluentprimefxt,https://www.fca.org.uk/news/warnings/affluentprimefxt,['www.affluentprimefxt.com']
173,COINPAYMENT FX,https://www.fca.org.uk/news/warnings/coinpayment-fx,['www.coinpaymentfx.com']
174,FXSMART OPTIONS,https://www.fca.org.uk/news/warnings/fxsmart-options,['www.fxsmartoptions.com']
175,COIN TRADING FX,https://www.fca.org.uk/news/warnings/coin-trading-fx,['www.cointradingfx.ltd']
176,Aston Global Assets,https://www.fca.org.uk/news/warnings/aston-global-assets,['www.astonglobalassets.com']
177,Bbitfx,https://www.fca.org.uk/news/warnings/bbitfx,['https://bbitfx.org/']
178,FinssoBank,https://www.fca.org.uk/news/warnings/finssobank,['www.finssobank.com']
179,Tiptopsmarkets,https://www.fca.org.uk/news/warnings/tiptopsmarkets,['https://t-topsmarkets.com/']
180,KEDEXTRADINGFX,https://www.fca.org.uk/news/warnings/kedextradingfx,['www.kedextradingfx.com']
181,swashinvest.com,https://www.fca.org.uk/news/warnings/swashinvestcom,['www.swashinvest.com']
182,W.J. Edwards,https://www.fca.org.uk/news/warnings/wj-edwards,"['wjedwards.uk, wjedwardsltd.co.uk']"
183,Exnessfxcapital,https://www.fca.org.uk/news/warnings/exnessfxcapital,['https://exnessfxcapital.com/']
184,fx-trusttrade,https://www.fca.org.uk/news/warnings/fx-trusttrade,"['www.fx-trusttrade.ltd, https://fx-trusttrade.org']"
185,fx-cashtrading.ltd,https://www.fca.org.uk/news/warnings/fx-cashtradingltd,['https://fx-cashtrading.ltd/']
186,WIN-TRADE INVEST,https://www.fca.org.uk/news/warnings/win-trade-invest,['www.win-tradeinvest.com']
187,TF Global Limited,https://www.fca.org.uk/news/warnings/tf-global-limited,['https://turtle-forex.com/']
188,CHECKERBITS INVESTMENT LTD,https://www.fca.org.uk/news/warnings/checkerbits-investment-ltd,['www.checkerbitsinvestment.com']
191,SoarFxGB,https://www.fca.org.uk/news/warnings/soarfxgb,['https://soarfxgb.net/']
192,RICHCOINFX,https://www.fca.org.uk/news/warnings/richcoinfx,['https://richcoinfx.com/']
194,Wailey Bank,https://www.fca.org.uk/news/warnings/wailey-bank,['https://waileybank.com/']
195,METROPOLISCAPITALBANK,https://www.fca.org.uk/news/warnings/metropoliscapitalbank,['https://metropoliscapitalbank.site/']
196,Fixed Income,https://www.fca.org.uk/news/warnings/fixed-income,['www.fixedincome.org.uk']
197,First Urban Bank,https://www.fca.org.uk/news/warnings/first-urban-bank,['www.firsturbanbank.com']
198,All Citizen Bank,https://www.fca.org.uk/news/warnings/all-citizen-bank,['www.allcitizenbank.com']
199,Prime Assets Global,https://www.fca.org.uk/news/warnings/prime-assets-global,['https://primeassetsglobal.com/']
200,GLOBAL INCOME TRADE,https://www.fca.org.uk/news/warnings/global-income-trade,['www.globalincometrade.net']
201,TRADE TECH INVESTMENTS,https://www.fca.org.uk/news/warnings/trade-tech-investments,['www.tradetechinvestment.com']
